month,month_num,year,quarter,base,high,low
Apr,4,2025,2,1320,1380,1265
May,5,2025,2,1335,1400,1275
Jun,6,2025,2,1350,1420,1285
Jul,7,2025,3,1365,1435,1295
Aug,8,2025,3,1380,1455,1305
Sep,9,2025,3,1400,1475,1320
Oct,10,2025,4,1415,1490,1330
Nov,11,2025,4,1430,1510,1345
Dec,12,2025,4,1450,1530,1360
Jan,1,2026,1,1465,1545,1375
Feb,2,2026,1,1480,1560,1390
Mar,3,2026,1,1500,1575,1410
Apr,4,2026,2,1590,1650,1530
May,5,2026,2,1605,1680,1540
Jun,6,2026,2,1620,1710,1545
Jul,7,2026,3,1640,1730,1550
Aug,8,2026,3,1660,1760,1560
Sep,9,2026,3,1680,1780,1565
Oct,10,2026,4,1700,1810,1570
Nov,11,2026,4,1720,1840,1575
Dec,12,2026,4,1740,1860,1580
