month,month_num,year,quarter,base,high,low
Apr,4,2025,2,1270,1400,1150
May,5,2025,2,1295,1430,1160
Jun,6,2025,2,1310,1450,1170
Jul,7,2025,3,1330,1480,1180
Aug,8,2025,3,1350,1510,1190
Sep,9,2025,3,1375,1540,1200
Oct,10,2025,4,1395,1560,1215
Nov,11,2025,4,1415,1580,1225
Dec,12,2025,4,1440,1610,1240
Jan,1,2026,1,1460,1620,1260
Feb,2,2026,1,1490,1650,1280
Mar,3,2026,1,1510,1680,1295
Apr,4,2026,2,1520,1680,1380
May,5,2026,2,1545,1720,1370
Jun,6,2026,2,1530,1700,1350
Jul,7,2026,3,1560,1750,1360
Aug,8,2026,3,1590,1790,1380
Sep,9,2026,3,1610,1820,1390
Oct,10,2026,4,1640,1860,1400
Nov,11,2026,4,1680,1900,1430
Dec,12,2026,4,1660,1880,1410
